,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
1161,Alcatel,1,4894461774787,1 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/1/,https://www.euro.com.pl/telefony-komorkowe/alcatel-1-dual-sim-zloty.bhtml#afterSearch-4894461774787||||product
1162,Alcatel,1,4894461786025,1 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/1/,https://www.euro.com.pl/telefony-komorkowe/alcatel-1-dual-sim-5033d-srebrny.bhtml#afterSearch-4894461786025||||product
1163,Ulefone,S9 Pro,6937748732471,null,null,null,null,https://www.mgsm.pl/pl/katalog/Ulefone/S9Pro/,null
1164,Ulefone,S9 Pro,6937748732488,null,null,null,null,https://www.mgsm.pl/pl/katalog/Ulefone/S9Pro/,null
1165,Ulefone,S9 Pro,6937748732495,null,null,null,null,https://www.mgsm.pl/pl/katalog/Ulefone/S9Pro/,null
1166,TP-Link,Neffos X9,6935364084523,null,null,null,null,https://www.mgsm.pl/pl/katalog/TP-Link/NeffosX9/,null
1167,TP-Link,Neffos X9,6935364084530,null,null,null,null,https://www.mgsm.pl/pl/katalog/TP-Link/NeffosX9/,null
1168,Xiaomi,Mi A2,6941059609742,null,null,null,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2/,null
1169,Xiaomi,Mi A2,6941059609759,4 GB,32 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-32gb-zloty.bhtml#afterSearch-6941059609759||||product
1170,Xiaomi,Mi A2,6941059609766,null,null,null,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2/,null
1171,Xiaomi,Mi A2,6941059609780,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-64gb-czarny.bhtml#afterSearch-6941059609780||||product
1172,Xiaomi,Mi A2,6941059609797,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2/,https://www.euro.com.pl/telefony-komorkowe/xiaomi-mi-a2-64gb-zloty.bhtml#afterSearch-6941059609797||||product
1173,Xiaomi,Mi A2,6941059609803,null,null,null,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2/,null
1174,Xiaomi,Mi A2,6941059609858,null,null,null,null,https://www.mgsm.pl/pl/katalog/Xiaomi/MiA2/,null
